,IG Everyday 5,IG Feast Rozzana 1,IG Feast Rozzana 5,IG Mini Mogra 10,IG Mini Mogra 5,IG Mini Mogra II 10,IG Mogra 10,IG Mogra 5,IG Super 5
IG Everyday 5,0.0,0.3074337703059225,0.47385237981008893,0.009140471596855573,0.054626245157281934,0.03837463830061876,0.008479618202957307,0.06777306601296881,0.0403198106133062
IG Feast Rozzana 1,0.5106907068209543,0.0,0.4141006079417705,0.002729670913588242,0.02100282861773942,0.01081523102692006,0.002500699317369978,0.02438716785026364,0.01377308751139394
IG Feast Rozzana 5,0.583913482065173,0.3071884772305264,0.0,0.004800519627228576,0.025976895079903143,0.02092584883686031,0.004388156119808107,0.03285193590546137,0.01995468513503902
IG Mini Mogra 10,0.05081541322347556,0.009135467279292597,0.021657567219363884,0.0,0.3725737965673121,0.25924615226863656,0.08876659802171061,0.1792664664190587,0.018538539001150097
IG Mini Mogra 5,0.1091218766487554,0.025257006826326492,0.04211068250978146,0.13387390328535984,0.0,0.21412143418936078,0.04813018444640351,0.40077944062614473,0.026605471467867885
IG Mini Mogra II 10,0.09483820329393947,0.01609045925077791,0.041967845034997835,0.11524563464042689,0.26490410573137685,0.0,0.10572538416753419,0.33427497470604445,0.026953393174902585
IG Mogra 10,0.04883899942248423,0.008670528122535695,0.02051006765483968,0.09196300992397782,0.13877061359166684,0.246394329423339,0.0,0.42548171894892783,0.019370732912228905
IG Mogra 5,0.11938392800296609,0.025860904733391116,0.0469617487673993,0.05680164728496204,0.35341395057555763,0.23826133604725508,0.1301305233788071,0.0,0.02918596120966149
IG Super 5,0.35904962086018427,0.07383476757907564,0.14420337723258536,0.029695089312855895,0.11860321767549756,0.0971203889100954,0.02994963835420354,0.1475439000755025,0.0
